Words,Avg Guesses,Failures
abaci,4.403134523291249,244
aback,4.484109708315193,264
abaft,4.382455376578146,222
abase,4.421419242490205,305
abash,4.409882455376578,237
abate,4.3256421419242495,248
abbey,4.49782324771441,325
abbot,4.356334349151067,238
abeam,4.395298215063126,258
abets,4.197431432303004,211
abhor,4.221593382673052,189
abide,4.25859817152808,244
abler,4.140835872877666,179
abode,4.229429690901175,235
abort,4.110143665650849,179
about,4.230953417501088,224
above,4.368306486721811,261
abuse,4.320200261210275,289
abuts,4.242054854157597,244
abuzz,4.677622986504136,374
abyss,4.4823683064867215,302
ached,4.269917283413148,241
aches,4.277753591641271,257
achoo,4.436656508489334,284
acids,4.274053112755769,274
acing,4.273182411841533,251
acmes,4.234218545929473,240
acorn,4.162168045276448,223
acres,4.197431432303004,252
acrid,4.182847191989552,224
acted,4.196996081845886,235
actor,4.124292555507183,193
acute,4.235524597300827,267
adage,4.420548541575968,307
adapt,4.281889420983892,210
added,4.586417065737919,361
adder,4.351545494122769,277
addle,4.345015237265999,273
adept,4.162603395733566,206
adieu,4.34915106660862,314
adman,4.371571615150196,237
admen,4.191118850674793,226
admit,4.178493687418372,193
adobe,4.235306922072268,234
adopt,4.1373530692207225,191
adore,4.209403569873748,263
adorn,4.163256421419242,223
adult,4.2059207662168046,230
adzes,4.391815411406182,305
aegis,4.323683064867218,317
aeons,4.23073574227253,287
aerie,4.3804962995211145,330
affix,4.6282107096212455,359
afire,4.256856769699608,265
afoot,4.36417065737919,256
afoul,4.264257727470614,234
after,4.164344797562038,198
again,4.425337396604267,289
agape,4.393556813234654,274
agate,4.386155855463648,297
agave,4.526774053112756,338
agent,4.214845450587723,240
agile,4.257292120156726,276
aging,4.453852851545494,297
agism,4.264475402699173,236
aglow,4.2333478450152375,201
agony,4.3169351327818895,271
agree,4.374183717892904,289
ahead,4.409664780148019,305
aided,4.413147583804963,306
aides,4.232477144101002,288
ailed,4.171310404875925,260
aimed,4.226382237701349,252
aired,4.195690030474532,274
aisle,4.229865041358293,289
alarm,4.343273835437527,254
album,4.244666956900304,204
alder,4.126469307792773,201
alert,4.146713104048759,217
algae,4.371571615150196,287
alias,4.406835002176752,339
alibi,4.358293426208098,243
alien,4.187853722246408,274
align,4.1922072268175885,225
alike,4.282760121898128,275
aline,4.218328254244667,282
alive,4.328036569438398,287
allay,4.6282107096212455,393
alley,4.423595994775795,323
allot,4.294514584240313,260
allow,4.37070091423596,254
alloy,4.414671310404876,301
aloes,4.232041793643884,292
aloft,4.1380060949064,187
aloha,4.36003482803657,263
alone,4.186983021332172,260
along,4.180235089246843,218
aloof,4.3539399216369175,254
aloud,4.236395298215063,270
alpha,4.3619939050936,224
altar,4.291902481497606,246
alter,4.152808010448411,226
altho,4.149978232477144,190
altos,4.139094471049194,241
alums,4.211797997387897,232
amass,4.5546364823683065,332
amaze,4.542228994340444,338
amber,4.162603395733566,180
amble,4.1606443186765345,184
ameba,4.412929908576404,259
ameer,4.323030039181541,268
amend,4.194166303874619,216
amigo,4.285807575097954,244
amino,4.288419677840662,270
amirs,4.226164562472791,247
amiss,4.41815411406182,316
amity,4.26512842838485,222
among,4.242054854157597,223
amour,4.243143230300392,230
ample,4.125380931649978,165
amply,4.2296473661297345,192
ampul,4.217022202873313,193
amuck,4.346321288637353,250
amuse,4.312799303439268,288
angel,4.190465824989116,233
anger,4.193295602960383,229
angle,4.190465824989116,234
angry,4.2666521549847625,233
angst,4.21332172398781,219
anime,4.226382237701349,252
anion,4.4673487157161516,369
anise,4.260121898127993,298
ankhs,4.305616020896822,250
ankle,4.2433609055289505,264
annex,4.531127557683935,348
annoy,4.469525468001741,337
annul,4.43535045711798,320
anode,4.218763604701785,260
anons,4.4175010883761425,329
anted,4.173487157161515,253
antes,4.186329995646496,251
antic,4.184588593818024,216
antis,4.203308663474097,259
anvil,4.272094035698737,235
